"","id","uid","label","os","emoji_id","unicode","emoji"
"53",53,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",10,"1f44f","👏"
"54",54,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",6,"1f618","😘"
"55",55,"IbgaI7iFvv8S8beXJ5yjRcAUQD5Od0Fv","afraid","Win32",178,"1f4a3","💣"
"56",56,"IbgaI7iFvv8S8beXJ5yjRcAUQD5Od0Fv","na","Win32",122,"1f61b","😛"
"57",57,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",125,"1f48e","💎"
"58",58,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","surprised","MacIntel",200,"1f635","😵"
"59",59,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",154,"25aa","▪"
"60",60,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","happy","MacIntel",73,"1f498","💘"
"61",61,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","sad","MacIntel",192,"2614","☔"
"62",62,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",149,"1f37b","🍻"
"63",63,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","happy","MacIntel",124,"1f46f","👯"
"64",64,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",184,"1f4ab","💫"
"65",65,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","neutral","MacIntel",170,"1f377","🍷"
"66",66,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","happy","MacIntel",122,"1f61b","😛"
"67",67,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",167,"1f3a7","🎧"
"68",68,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","happy","MacIntel",57,"1f49a","💚"
"69",69,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",49,"1f3b6","🎶"
"70",70,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","neutral","MacIntel",91,"26bd","⚽"
"71",71,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",98,"1f620","😠"
"72",72,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","happy","MacIntel",144,"1f339","🌹"
"73",73,"FWjmfrIIi686U1kwCEJti5DLZJzPLrIA","happy","MacIntel",118,"1f384","🎄"
"74",74,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",87,"25ba","►"
"75",75,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",19,"1f609","😉"
"76",76,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",189,"1f4a8","💨"
"77",77,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",68,"1f600","😀"
"78",78,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","sad","MacIntel",104,"1f613","😓"
"79",79,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",101,"1f340","🍀"
"80",80,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",178,"1f4a3","💣"
"81",81,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","afraid","MacIntel",150,"1f645","🙅"
"82",82,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",118,"1f384","🎄"
"83",83,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",168,"1f446","👆"
"84",84,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","sad","MacIntel",28,"1f614","😔"
"85",85,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",157,"2637","☷"
"86",86,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",66,"1f44a","👊"
"87",87,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",91,"26bd","⚽"
"88",88,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",16,"1f64f","🙏"
"89",89,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",137,"1f445","👅"
"90",90,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",140,"1f48f","💏"
"91",91,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","happy","MacIntel",13,"2661","♡"
"92",92,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","neutral","MacIntel",76,"1f44b","👋"
"93",93,"XMOA34LkzsgFtBrzkw8vgGxgdcEEffha","angry","MacIntel",42,"1f621","😡"
